species,collection,item,asset,measure,value
Anoura cadenai,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,3.1427217503304345
Anoura caudifer,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,35.788333333333334
Anoura caudifer,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,34.125
Anoura caudifer,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,43.6
Anoura caudifer,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,33.34
Anoura caudifer,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,3.902350146599696
Anoura cultrata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,39.4565371024735
Anoura cultrata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,38.03
Anoura cultrata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,68.83
Anoura cultrata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,25.46
Anoura cultrata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,10.967026531587333
Anoura fistulata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Anoura fistulata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Anoura fistulata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Anoura fistulata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Anoura fistulata,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Anoura geoffroyi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Anoura geoffroyi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Anoura geoffroyi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Anoura geoffroyi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Anoura geoffroyi,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Anoura latidens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Anoura latidens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Anoura latidens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Anoura latidens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Anoura latidens,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
Anoura luismanueli,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
