species,collection,item,asset,measure,value
Pteropus melanopogon,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,59.0825
Pteropus melanopogon,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,58.739999999999995
Pteropus melanopogon,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,75.77
Pteropus melanopogon,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,34.79
Pteropus melanopogon,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,13.818558690605698
