species,collection,item,asset,measure,value
Molossops aequatorianus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,NaN
Molossops aequatorianus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,NaN
Molossops aequatorianus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,NaN
Molossops aequatorianus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,NaN
Molossops aequatorianus,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,NaN
