species,collection,item,asset,measure,value
Mormopterus francoismoutoui,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,92.66499999999999
Mormopterus francoismoutoui,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,92.66499999999999
Mormopterus francoismoutoui,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,92.84
Mormopterus francoismoutoui,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,92.49
Mormopterus francoismoutoui,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,0.2474873734153027
