species,collection,item,asset,measure,value
Rhinolophus xinanzhongguoensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,mean,71.43777777777778
Rhinolophus xinanzhongguoensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,median,72.48
Rhinolophus xinanzhongguoensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,maximum,79.63
Rhinolophus xinanzhongguoensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,minimum,61.97
Rhinolophus xinanzhongguoensis,bii_nhm,bii_nhm_10km_2020,bii_nhm_10km_2020,std,5.679385481233375
